"Field","Trt","Plot","Scom","Spop","Asyn","CPE","SAE","Richness","Shannon","Inv.Simpson","Evenness.Shannon","Evenness.Simpson","Nitrogen","Nitrogen_log","Group"
"Duolun","F3",18,0.363463705145814,-0.0501881923175506,0.413651897463365,0.0279633883842846,0.38568850907908,12.8,1.92175375992615,4.4761188138391,0.559627524941311,0.144390929478681,8,0.954242509439325,"Overall"
"Duolun","F4",19,0.289863604324211,-0.148272947004433,0.438136551328644,0.0855824195212188,0.352554131807425,11.8,1.95274719794199,5.29566446071136,0.574135217341515,0.176522148690379,16,1.23044892137827,"Overall"
"Duolun","F4",20,0.347894393880443,-0.0682599278128508,0.416154321693294,0.0776822024523626,0.338472119240931,13.6,1.85983219734298,4.31630877794244,0.527408409991042,0.126950258174778,16,1.23044892137827,"Overall"
"Duolun","F4",21,0.411425927546037,0.0308116609409115,0.380614266605126,-0.0188303087488291,0.399444575353955,11,1.84912678060788,4.69184941810852,0.574463533610711,0.187673976724341,16,1.23044892137827,"Overall"
"Duolun","F4",22,0.398120717207574,-0.105457987139946,0.50357870434752,0.162161733760671,0.341416970586849,11.6,1.90278661744806,4.63420784460991,0.559446102042502,0.15447359482033,16,1.23044892137827,"Overall"
"Duolun","F4",23,0.299404431072674,-0.0264197616808729,0.325824192753547,-0.0703707164238154,0.396194909177362,12.5,1.88368265211206,4.42607353302453,0.543515924162127,0.138314797907017,16,1.23044892137827,"Overall"
"Duolun","F4",24,0.40661586812841,-0.128073643355034,0.534689511483444,0.153435023679508,0.381254487803936,9.9,1.87131609106441,4.34561087397739,0.596816948842586,0.188939603216408,16,1.23044892137827,"Overall"
"Duolun","F5",25,0.317462625916203,-0.0433323159013064,0.360794941817509,0.00133451534007521,0.359460426477434,9.5,1.79352972117347,4.53233736020082,0.550483909928162,0.174320667700032,32,1.51851393987789,"Overall"
"Duolun","F5",26,0.310805171858005,-0.0952979585614407,0.406103130419445,0.0214629324579382,0.384640197961507,10,1.88088297592808,4.34905238352107,0.570684488461452,0.161076014204484,32,1.51851393987789,"Overall"
"Duolun","F5",27,0.291362159480653,-0.131976288262079,0.423338447742733,0.0938339849136411,0.329504462829092,8.5,1.59958000862956,3.69757364627066,0.517488851339349,0.168071529375939,32,1.51851393987789,"Overall"
"Duolun","F5",28,0.347046956570043,-0.117574356175823,0.464621312745866,0.0848699207787642,0.379751391967101,8.2,1.80707390677658,4.46186885843342,0.60321608934458,0.223093442921671,32,1.51851393987789,"Overall"
"Duolun","F5",29,0.463662149410929,-0.160436175582191,0.62409832499312,0.205758514430227,0.418339810562893,8.9,2.02260121526295,6.1078604885517,0.675160872391122,0.305393024427585,32,1.51851393987789,"Overall"
"Duolun","F5",30,0.389576215638584,-0.0458962559338535,0.435472471572437,0.0565271075017843,0.378945364070653,9.6,1.63779258238989,3.13589198525829,0.546708595039733,0.156794599262914,32,1.51851393987789,"Overall"
